tau_12,tau_13,tau_14,tau_23,tau_24,tau_34
133.165948416293,-8502.38050334564,-13097.6912813835,-8605.56720596236,-13230.8572297982,-4565.33153223723
118.176325517601,-8532.35974914574,-13067.7120355834,-8620.55682886106,-13185.8883610999,-4580.32115513756
103.186702616729,-8532.35974914574,-13067.7120355834,-8605.56720596236,-13215.8676069017,-4595.31077803761
88.1970797158565,-8532.35974914574,-13067.7120355823,-8590.57758306149,-13215.8676069017,-4580.32115513756
88.1970797158565,-8532.35974914574,-13067.7120355831,-8605.56720596236,-13200.8779839997,-4580.32115513756
118.176325513239,-8502.38050334564,-13037.7327897832,-8605.56720596018,-13200.8779840008,-4580.32115513756
118.17632551542,-8517.37012624542,-13067.7120355834,-8605.56720596018,-13185.8883610999,-4580.32115513756
118.176325517601,-8502.38050334564,-13067.7120355834,-8605.56720596236,-13185.8883610999,-4580.32115513756
103.186702616729,-8532.35974914574,-13067.7120355834,-8605.56720596236,-13185.8883610977,-4610.3004009374
88.1970797158565,-8532.35974914561,-13052.7224126832,-8605.56720596127,-13215.8676068995,-4595.31077803756
103.186702616729,-8532.35974914574,-13067.7120355834,-8620.55682886324,-13200.8779840008,-4580.32115513756
118.17632551542,-8502.38050334564,-13067.7120355832,-8620.55682886106,-13200.8779840008,-4580.32115513756
88.1970797136752,-8532.35974914568,-13067.7120355834,-8590.57758306149,-13185.8883610999,-4565.33153223778
103.186702614548,-8532.35974914561,-13067.7120355831,-8605.56720596236,-13200.8779840008,-4580.32115513756
103.186702615638,-8532.35974914574,-13052.7224126836,-8575.5879601628,-13200.8779839986,-4580.32115513756
103.186702616729,-8532.35974914561,-13067.7120355834,-8605.56720596127,-13215.8676068989,-4565.33153223778
88.1970797158565,-8532.35974914547,-13082.7016584832,-8590.57758305931,-13185.8883610999,-4580.32115513756
